Source,Target,Weight
johnnyeatsnyc,nycfoodie.nyc,14
johnnyeatsnyc,theeoverthinker,1
nycfoodie.nyc,theeoverthinker,1
bao_buddy,johnnyeatsnyc,4
foodieee.nycc,johnnyeatsnyc,3
foodieee.nycc,muslimfoodies,1
johnnyeatsnyc,muslimfoodies,2
tedweitz,theeoverthinker,1
glamorousgrub,tedweitz,2
bao_buddy,comicsinmybirkin,9
bao_buddy,nycmouth,6
bao_buddy,tedweitz,4
bao_buddy,tofueeats,11
bao_buddy,whatsgoinganh,8
comicsinmybirkin,nycmouth,9
comicsinmybirkin,tedweitz,10
comicsinmybirkin,tofueeats,5
comicsinmybirkin,whatsgoinganh,6
nycmouth,tedweitz,5
nycmouth,tofueeats,4
nycmouth,whatsgoinganh,2
tedweitz,tofueeats,2
tedweitz,whatsgoinganh,1
tofueeats,whatsgoinganh,3
airlinkadventures,ms_new_foodie,2
airlinkadventures,tedweitz,2
ms_new_foodie,tedweitz,1
cindy_food_drink,nycmouth,4
cindy_food_drink,tedweitz,6
cindy_food_drink,comicsinmybirkin,10
cindy_food_drink,itsasugarhighh,4
cindy_food_drink,tastynybites,6
cindy_food_drink,tofueeats,3
cindy_food_drink,travelicious_d,3
comicsinmybirkin,itsasugarhighh,3
comicsinmybirkin,tastynybites,13
comicsinmybirkin,travelicious_d,6
itsasugarhighh,tastynybites,1
itsasugarhighh,tedweitz,1
itsasugarhighh,tofueeats,4
itsasugarhighh,travelicious_d,6
tastynybites,tedweitz,1
tastynybites,tofueeats,7
tastynybites,travelicious_d,5
tedweitz,travelicious_d,2
tofueeats,travelicious_d,1
johnnyeatsnyc,tofueeats,4
nycfoodie.nyc,tofueeats,2
cindy_food_drink,johnnyeatsnyc,5
comicsinmybirkin,johnnyeatsnyc,2
cindy_food_drink,fooddrinksnyc,6
cindy_food_drink,theeoverthinker,1
comicsinmybirkin,fooddrinksnyc,5
comicsinmybirkin,theeoverthinker,3
fooddrinksnyc,tastynybites,13
fooddrinksnyc,theeoverthinker,2
